idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strTags,dateModified,Ingredient,num_ingredientes,cluster,image_filename_x,image_path_x,image_filename_y,image_path_y,image_path
12910,Egg Nog #4,Punch / Party Drink,Optional alcohol,Punch bowl,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",https://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg,,2016-07-18 22:02:27,"['Egg yolk', 'Sugar', 'Milk', 'Light rum', 'Bourbon', 'Vanilla extract', 'Salt', 'Whipping cream', 'Egg white', 'Sugar', 'Nutmeg']",11,3.0,12910.jpg,cocktail_images/12910.jpg,12910.jpg,cocktail_images\12910.jpg,cocktail_images\12910.jpg
178353,Apple Highball,Cocktail,Alcoholic,Highball glass,"Add ice in a highball glass. Rub a wedge of fresh lime around rim and place it in the glass. Add a shot of Apple schnapps, a shot of Courvoisier and top up with ginger ale.",https://www.thecocktaildb.com/images/media/drink/66mt9b1619695719.jpg,"Classy, Spicy",,"['Lime', 'Apple Schnapps', 'Cognac', 'Ginger']",4,4.0,178353.jpg,cocktail_images/178353.jpg,178353.jpg,cocktail_images\178353.jpg,cocktail_images\178353.jpg
178335,Lazy Coconut Paloma,Cocktail,Alcoholic,Highball glass,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,https://www.thecocktaildb.com/images/media/drink/rytuex1598719770.jpg,"Lazy, Sharp",,"['Coconut Liqueur', 'Grapefruit Juice', 'Soda Water']",3,4.0,178335.jpg,cocktail_images/178335.jpg,178335.jpg,cocktail_images\178335.jpg,cocktail_images\178335.jpg
15092,Pysch Vitamin Light,Ordinary Drink,Non alcoholic,Collins Glass,Shake with ice.,https://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,,2015-09-06 16:33:00,"['Orange juice', 'Apple juice', 'Pineapple juice', 'Ice']",4,4.0,15092.jpg,cocktail_images/15092.jpg,15092.jpg,cocktail_images\15092.jpg,cocktail_images\15092.jpg
17135,Citrus Coke,Soft Drink,Alcoholic,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,,2016-11-18 12:46:54,"['Bacardi Limon', 'Coca-Cola']",2,4.0,17135.jpg,cocktail_images/17135.jpg,17135.jpg,cocktail_images\17135.jpg,cocktail_images\17135.jpg
11019,Alfie Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Alcoholic,2017-01-02 20:10:29,"['Lemon vodka', 'Triple sec', 'Pineapple juice']",3,4.0,11019.jpg,cocktail_images/11019.jpg,11019.jpg,cocktail_images\11019.jpg,cocktail_images\11019.jpg
12097,Rum Toddy,Ordinary Drink,Alcoholic,Old-fashioned glass,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,,2017-09-08 16:58:06,"['Rum', 'Powdered sugar', 'Lemon peel', 'Water']",4,5.0,12097.jpg,cocktail_images/12097.jpg,12097.jpg,cocktail_images\12097.jpg,cocktail_images\12097.jpg
17114,Ruby Tuesday,Cocktail,Alcoholic,Highball glass,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,https://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg,,2015-09-06 16:30:37,"['Gin', 'Cranberry juice', 'Grenadine']",3,1.0,17114.jpg,cocktail_images/17114.jpg,17114.jpg,cocktail_images\17114.jpg,cocktail_images\17114.jpg
17065,Caribbean Boilermaker,Beer,Alcoholic,Beer pilsner,Pour the Corona into an 18oz beer glass pour the rum into the beer.,https://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,,2016-02-03 15:01:06,"['Corona', 'Light rum']",2,4.0,17065.jpg,cocktail_images/17065.jpg,17065.jpg,cocktail_images\17065.jpg,cocktail_images\17065.jpg
14181,Cafe Savoy,Coffee / Tea,Alcoholic,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,,2015-09-03 03:35:11,"['Coffee', 'Milk', 'Triple sec', 'Brandy']",4,4.0,14181.jpg,cocktail_images/14181.jpg,14181.jpg,cocktail_images\14181.jpg,cocktail_images\14181.jpg
